# Kiwix English ZIM best/latest files - v20260402l
# Generated: 2026-04-02 17:38:15
# Total files: 568
# Total size: 1.09 TiB
# Format: filename|size_human|size_bytes|url|torrent_url

canadian_prepper_bugoutroll_en_2025-08.zim|929.00 MiB|974127104|https://download.kiwix.org/zim/videos/canadian_prepper_bugoutroll_en_2025-08.zim|https://download.kiwix.org/zim/videos/canadian_prepper_bugoutroll_en_2025-08.zim.torrent
canadian_prepper_preppingfood_en_2025-09.zim|2.00 GiB|2147483648|https://download.kiwix.org/zim/videos/canadian_prepper_preppingfood_en_2025-09.zim|https://download.kiwix.org/zim/videos/canadian_prepper_preppingfood_en_2025-09.zim.torrent
canadian_prepper_winterprepping_en_2026-02.zim|1.20 GiB|1288490188|https://download.kiwix.org/zim/videos/canadian_prepper_winterprepping_en_2026-02.zim|https://download.kiwix.org/zim/videos/canadian_prepper_winterprepping_en_2026-02.zim.torrent
cardano.stackexchange.com_en_all_2026-02.zim|16.00 MiB|16777216|https://download.kiwix.org/zim/stack_exchange/cardano.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/cardano.stackexchange.com_en_all_2026-02.zim.torrent
cd3wdproject.org_en_all_2025-11.zim|554.00 MiB|580911104|https://download.kiwix.org/zim/zimit/cd3wdproject.org_en_all_2025-11.zim|https://download.kiwix.org/zim/zimit/cd3wdproject.org_en_all_2025-11.zim.torrent
celticscores.com_en_all_2026-02.zim|5.30 GiB|5690831667|https://download.kiwix.org/zim/zimit/celticscores.com_en_all_2026-02.zim|https://download.kiwix.org/zim/zimit/celticscores.com_en_all_2026-02.zim.torrent
cheatography.com_en_all_2025-07.zim|11.00 GiB|11811160064|https://download.kiwix.org/zim/zimit/cheatography.com_en_all_2025-07.zim|https://download.kiwix.org/zim/zimit/cheatography.com_en_all_2025-07.zim.torrent
chemistry.stackexchange.com_en_all_2026-02.zim|397.00 MiB|416284672|https://download.kiwix.org/zim/stack_exchange/chemistry.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/chemistry.stackexchange.com_en_all_2026-02.zim.torrent
chess.stackexchange.com_en_all_2026-02.zim|77.00 MiB|80740352|https://download.kiwix.org/zim/stack_exchange/chess.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/chess.stackexchange.com_en_all_2026-02.zim.torrent
chopin.lib.uchicago.edu_en_all_2025-01.zim|8.20 GiB|8804682956|https://download.kiwix.org/zim/other/chopin.lib.uchicago.edu_en_all_2025-01.zim|https://download.kiwix.org/zim/other/chopin.lib.uchicago.edu_en_all_2025-01.zim.torrent
christianity.stackexchange.com_en_all_2026-02.zim|180.00 MiB|188743680|https://download.kiwix.org/zim/stack_exchange/christianity.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/christianity.stackexchange.com_en_all_2026-02.zim.torrent
citizendium.org_en_all_maxi_2026-01.zim|209.00 MiB|219152384|https://download.kiwix.org/zim/other/citizendium.org_en_all_maxi_2026-01.zim|https://download.kiwix.org/zim/other/citizendium.org_en_all_maxi_2026-01.zim.torrent
citizensinformation.ie_en_all_2026-03.zim|128.00 MiB|134217728|https://download.kiwix.org/zim/zimit/citizensinformation.ie_en_all_2026-03.zim|https://download.kiwix.org/zim/zimit/citizensinformation.ie_en_all_2026-03.zim.torrent
civicrm.stackexchange.com_en_all_2026-02.zim|93.00 MiB|97517568|https://download.kiwix.org/zim/stack_exchange/civicrm.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/civicrm.stackexchange.com_en_all_2026-02.zim.torrent
cloudflare.com_en_learning-center_2025-12.zim|182.00 MiB|190840832|https://download.kiwix.org/zim/zimit/cloudflare.com_en_learning-center_2025-12.zim|https://download.kiwix.org/zim/zimit/cloudflare.com_en_learning-center_2025-12.zim.torrent
codegolf.stackexchange.com_en_all_2026-02.zim|372.00 MiB|390070272|https://download.kiwix.org/zim/stack_exchange/codegolf.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/codegolf.stackexchange.com_en_all_2026-02.zim.torrent
codereview.stackexchange.com_en_all_2026-02.zim|525.00 MiB|550502400|https://download.kiwix.org/zim/stack_exchange/codereview.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/codereview.stackexchange.com_en_all_2026-02.zim.torrent
coffee.stackexchange.com_en_all_2026-02.zim|17.00 MiB|17825792|https://download.kiwix.org/zim/stack_exchange/coffee.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/coffee.stackexchange.com_en_all_2026-02.zim.torrent
communitybuilding.stackexchange.com_en_all_2026-02.zim|6.00 MiB|6291456|https://download.kiwix.org/zim/stack_exchange/communitybuilding.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/communitybuilding.stackexchange.com_en_all_2026-02.zim.torrent
computergraphics.stackexchange.com_en_all_2026-02.zim|51.00 MiB|53477376|https://download.kiwix.org/zim/stack_exchange/computergraphics.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/computergraphics.stackexchange.com_en_all_2026-02.zim.torrent
conlang.stackexchange.com_en_all_2026-02.zim|7.10 MiB|7444889|https://download.kiwix.org/zim/stack_exchange/conlang.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/conlang.stackexchange.com_en_all_2026-02.zim.torrent
cooking.stackexchange.com_en_all_2026-02.zim|226.00 MiB|236978176|https://download.kiwix.org/zim/stack_exchange/cooking.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/cooking.stackexchange.com_en_all_2026-02.zim.torrent
coreyms_en_django-tutorials_2025-10.zim|271.00 MiB|284164096|https://download.kiwix.org/zim/videos/coreyms_en_django-tutorials_2025-10.zim|https://download.kiwix.org/zim/videos/coreyms_en_django-tutorials_2025-10.zim.torrent
coreyms_en_flask-tutorials_2026-04.zim|257.00 MiB|269484032|https://download.kiwix.org/zim/videos/coreyms_en_flask-tutorials_2026-04.zim|https://download.kiwix.org/zim/videos/coreyms_en_flask-tutorials_2026-04.zim.torrent
coreyms_en_git-tutorials_2026-04.zim|57.00 MiB|59768832|https://download.kiwix.org/zim/videos/coreyms_en_git-tutorials_2026-04.zim|https://download.kiwix.org/zim/videos/coreyms_en_git-tutorials_2026-04.zim.torrent
coreyms_en_javascript-tutorials_2025-10.zim|42.00 MiB|44040192|https://download.kiwix.org/zim/videos/coreyms_en_javascript-tutorials_2025-10.zim|https://download.kiwix.org/zim/videos/coreyms_en_javascript-tutorials_2025-10.zim.torrent
coreyms_en_matplotlib-tutorials_2026-04.zim|104.00 MiB|109051904|https://download.kiwix.org/zim/videos/coreyms_en_matplotlib-tutorials_2026-04.zim|https://download.kiwix.org/zim/videos/coreyms_en_matplotlib-tutorials_2026-04.zim.torrent
coreyms_en_pandas-tutorials_2026-03.zim|165.00 MiB|173015040|https://download.kiwix.org/zim/videos/coreyms_en_pandas-tutorials_2026-03.zim|https://download.kiwix.org/zim/videos/coreyms_en_pandas-tutorials_2026-03.zim.torrent
